dimension,curiosity,reflection,complexity,emotionality,characters,pace,imagination,realism,ambiguity,culture
curiosity,1.0,-0.20791682552005192,0.24259699023843595,-0.43043179694643274,-0.38163293479887933,0.34901638695677584,0.7205356704002565,-0.5423798802222282,0.15055541028942385,-0.41426713647517266
reflection,-0.20791682552005192,1.0000000000000002,0.16283635785134687,0.25148602817304094,0.5138726187046757,-0.4642937048534401,-0.08083672160782591,0.20863343620803465,0.11351558948811787,0.3337943979205256
complexity,0.24259699023843595,0.16283635785134687,1.0000000000000002,0.015318589501901772,0.1013944128968987,-0.041621968818490035,0.36834699523782993,-0.14615512209529413,0.2950079684464057,0.17531811451759577
emotionality,-0.43043179694643274,0.25148602817304094,0.015318589501901772,0.9999999999999999,0.4997721358200796,-0.4239885328130577,-0.47743658192591687,0.46835898097108675,-0.00944866502323991,0.4730759716696244
characters,-0.38163293479887933,0.5138726187046757,0.1013944128968987,0.4997721358200796,1.0000000000000002,-0.22358811731252187,-0.18710086767569342,0.4232434072401017,0.037717242835374885,0.62005192618553
pace,0.34901638695677584,-0.4642937048534401,-0.041621968818490035,-0.4239885328130577,-0.22358811731252187,1.0000000000000002,0.36134045920281177,-0.31932720654654184,-0.025994633268624674,-0.23226434072666802
imagination,0.7205356704002565,-0.08083672160782591,0.36834699523782993,-0.47743658192591687,-0.18710086767569342,0.36134045920281177,1.0000000000000002,-0.6616440429730485,0.18106992431440913,-0.2654154789433976
realism,-0.5423798802222282,0.20863343620803465,-0.14615512209529413,0.46835898097108675,0.4232434072401017,-0.31932720654654184,-0.6616440429730485,1.0,0.022822972900035036,0.4448661073189225
ambiguity,0.15055541028942385,0.11351558948811787,0.2950079684464057,-0.00944866502323991,0.037717242835374885,-0.025994633268624674,0.18106992431440913,0.022822972900035036,1.0000000000000002,0.06830518118113792
culture,-0.41426713647517266,0.3337943979205256,0.17531811451759577,0.4730759716696244,0.62005192618553,-0.23226434072666802,-0.2654154789433976,0.4448661073189225,0.06830518118113792,1.0
